Hole_ID,Mo,Nb,Zr,Sr,Rb,Th,Pb,Ars,Ta,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Sc,Ca,K,S,Ba,Cs,Ag,Nb_Zr,V_Zr,Ti_Zr,Sc_Zr,Sr_Zr,Ta_Zr,Ca_Zr,K_Zr,Rb_Zr,Mn_Zr,Cs_Zr,Zn_Zr,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
487675,2,0,127,735,69,4,15,452,0,51,16,63,163,23397,448,228,94,1683,45,19742,16086,349,854,18,5,0,0.74,13,0.35,5.79,0,155.5,127,0.54,3.53,0,0.4,184,0.5,1.28,0.13,I2,fr,Fr,0.185,1.39,0.14,0.045,I2,0.678571429
487682,2,0,102,662,47,4,7,104,0,59,16,69,163,24058,495,229,97,1770,95,24562,13757,349,628,62,5,0,0.95,17,0.93,6.49,0,240.8,135,0.46,4.85,1,0.58,236,0.68,1.6,0.16,I2,fr,Fr,0.197,1.51,0.151,0.046,I2,0.695364238
487683,2,0,131,638,47,4,18,262,0,61,16,100,163,24749,544,245,100,1899,45,25823,14818,349,827,84,5,0,0.76,15,0.34,4.87,0,197.1,113,0.36,4.15,1,0.47,189,0.76,1.24,0.12,I2,fr,Fr,0.587,1.63,0.567,0.02,I2,0.964726631
487684,2,0,151,846,50,4,16,121,0,55,16,92,163,25330,484,245,119,1922,45,22569,14966,349,832,60,5,0,0.79,13,0.3,5.6,0,149.5,99,0.33,3.21,0,0.36,168,0.61,1.08,0.11,I2,fr,Fr,0.466,1.77,0.385,0.081,I2,0.78961039
487696,2,0,130,660,77,4,7,88,0,66,16,80,163,21178,535,207,99,1769,96,23979,17735,349,972,66,5,0,0.76,14,0.74,5.08,0,184.5,136,0.59,4.12,1,0.51,163,0.62,1.25,0.12,I2,fr,Fr,0.35,2.35,0.284,0.066,I2,0.767605634
487697,2,0,113,565,70,4,7,737,0,55,16,59,163,20253,419,221,91,1554,45,22435,16634,723,1273,45,5,0,0.81,14,0.4,5,0,198.5,147,0.62,3.71,0,0.49,179,0.52,1.44,0.14,I2,fr,Fr,0.258,1.71,0.204,0.054,I2,0.735294118
487704,2,0,117,684,77,4,7,75,0,52,16,66,163,23563,464,231,103,1798,91,23933,16898,349,694,46,5,0,0.88,15,0.78,5.85,0,204.6,144,0.66,3.97,0,0.44,201,0.56,1.39,0.14,I2,fr,Fr,0.223,1.61,0.173,0.05,I2,0.710982659
487707,2,0,166,870,90,4,7,129,0,65,16,73,163,27569,512,213,100,1735,45,20563,16225,349,709,44,5,0,0.6,10,0.27,5.24,0,123.9,98,0.54,3.08,0,0.39,166,0.44,0.98,0.1,I2,fr,Fr,0.208,1.58,0.16,0.048,I2,0.7
487713,2,0,134,842,60,4,17,1423,0,62,16,102,163,31612,667,260,138,1989,45,37662,15514,349,771,61,5,0,1.03,15,0.34,6.28,0,281.1,116,0.45,4.98,0,0.46,236,0.76,1.22,0.12,I2,fr,Fr,0.141,1.41,0.102,0.039,I2,0.617647059
487714,2,0,132,878,39,4,7,59,0,54,16,72,163,24571,460,220,109,1876,45,21069,10342,349,528,42,5,0,0.83,14,0.34,6.65,0,159.6,78,0.3,3.48,0,0.41,186,0.55,1.23,0.12,I2,fr,Fr,0.158,1.48,0.117,0.041,I2,0.64957265
487726,2,0,143,673,95,4,7,94,0,59,42,108,163,29786,688,326,117,2138,45,6942,19672,349,1010,18,5,0,0.82,15,0.31,4.71,0,48.6,138,0.66,4.81,0,0.41,208,0.76,1.14,0.29,I2,sr,Tr,0.152,0.22,0.125,0.027,I2,0.784
487731,2,0,178,827,87,4,15,143,0,48,33,96,163,31762,706,306,111,2315,45,7198,16927,349,856,18,5,0,0.62,13,0.25,4.65,0,40.4,95,0.49,3.97,0,0.27,178,0.54,0.92,0.19,I2,sr,Tr,0.261,0.26,0.222,0.039,I2,0.824324324
487770,2,0,120,712,55,4,18,7,0,68,16,103,163,18878,446,207,85,1649,45,20230,12033,349,1574,74,5,0,0.71,14,0.38,5.93,0,168.6,100,0.46,3.72,1,0.57,157,0.86,1.36,0.13,I2,fr,Fr,0.172,1.19,0.129,0.043,I2,0.666666667
487778,2,0,183,763,108,4,7,26,0,78,46,137,163,38685,754,463,159,2758,112,28183,23650,349,1070,46,5,0,0.87,15,0.61,4.17,0,154,129,0.59,4.12,0,0.43,211,0.75,0.89,0.25,S3,fr,Fr,0.381,0.49,0.294,0.087,S4,0.704081633
836412,2,13,285,70,49,14,27,111,53,44,16,70,163,53088,856,195,93,3896,45,6105,9508,349,398,365,5,0,0.33,14,0.16,0.25,0.2,21.4,33,0.17,3,1,0.15,186,0.25,0.57,0.06,R,c,R,0.137,0.56,0.119,0.018,R,0.848739496
836457,2,7,160,208,55,9,7,318,37,50,38,83,163,41815,571,215,105,2998,45,5793,13405,349,561,542,5,0,0.66,19,0.28,1.3,0.2,36.2,84,0.34,3.57,3,0.31,261,0.52,1.02,0.24,S4,fr,Fr,0.181,0.47,0.138,0.043,S4,0.688405797
836458,2,7,153,253,58,4,15,395,55,62,16,71,163,45322,620,185,105,2789,45,8027,12965,349,510,489,5,0,0.69,18,0.29,1.65,0.4,52.5,85,0.38,4.05,3,0.41,296,0.46,1.07,0.1,S4,fr,Fr,0.157,0.59,0.117,0.04,S4,0.658119658
836459,2,8,190,234,59,10,16,382,63,71,16,106,163,47687,624,209,143,3142,45,6428,14475,349,533,503,5,0,0.75,17,0.24,1.23,0.3,33.8,76,0.31,3.28,3,0.37,251,0.56,0.86,0.08,S4,fr,Fr,0.244,0.42,0.212,0.032,S4,0.849056604
836461,2,7,177,269,63,10,7,189,25,67,16,98,163,40353,779,164,119,3058,45,10346,12039,349,443,450,5,0,0.67,17,0.25,1.52,0.1,58.5,68,0.36,4.4,3,0.38,228,0.55,0.92,0.09,S4,fr,Fr,0.211,0.57,0.163,0.048,S4,0.705521472
836462,2,7,178,190,54,9,7,302,42,66,39,57,163,34120,708,182,99,2865,45,6322,14919,349,632,470,5,0,0.56,16,0.25,1.07,0.2,35.5,84,0.3,3.98,3,0.37,192,0.32,0.92,0.22,S3,fr,Fr,0.493,0.43,0.449,0.044,S4,0.902004454
836463,2,6,167,298,62,9,7,403,47,60,16,59,163,38682,614,184,145,3010,102,11209,12163,349,448,464,5,0,0.87,18,0.61,1.78,0.3,67.1,73,0.37,3.68,3,0.36,232,0.35,0.98,0.1,S3,fr,Fr,0.249,0.78,0.183,0.066,S4,0.639344262
836477,2,9,259,91,49,12,16,231,31,36,33,26,163,38438,385,152,83,3324,45,2641,7318,349,420,508,5,0,0.32,13,0.17,0.35,0.1,10.2,28,0.19,1.49,2,0.14,148,0.1,0.63,0.13,R,c,R,0.24,0.6,0.215,0.025,R,0.88372093
836478,2,9,314,129,80,19,21,323,44,75,16,26,163,37968,426,137,104,4499,45,2778,8643,349,475,369,5,0,0.33,14,0.14,0.41,0.1,8.9,28,0.25,1.36,1,0.24,121,0.08,0.52,0.05,R,c,R,0.316,0,0.267,0.049,R,0.816479401
836479,2,10,355,211,108,18,21,444,70,94,16,26,163,39288,409,118,113,4975,45,1284,9848,349,493,272,5,0,0.32,14,0.13,0.59,0.2,3.6,28,0.3,1.15,1,0.26,111,0.07,0.46,0.05,S4,sp,Ox,0.286,0,0.245,0.041,S4,0.832653061
836480,2,8,299,168,137,17,24,451,67,90,16,26,163,41423,530,103,133,5204,45,1881,13942,349,658,347,5,0,0.44,17,0.15,0.56,0.2,6.3,47,0.46,1.77,1,0.3,139,0.09,0.55,0.05,S4,sp,Ox,0.263,0.21,0.229,0.034,S4,0.851528384
836481,2,8,311,99,144,16,32,388,58,84,16,68,163,46319,665,116,77,5359,45,1764,15883,349,768,408,5,0,0.25,17,0.14,0.32,0.2,5.7,51,0.46,2.14,1,0.27,149,0.22,0.52,0.05,S4,sp,Ox,0.14,0.26,0.109,0.031,S4,0.71559633
836484,2,8,210,265,114,15,22,1595,57,64,16,56,163,43628,516,153,150,4033,45,1612,16181,349,623,336,5,0,0.71,19,0.21,1.26,0.3,7.7,77,0.54,2.46,2,0.3,208,0.27,0.78,0.08,S4,sp,Ox,2.279,0.2,2.128,0.151,S4,0.929041353
836485,2,9,188,450,131,9,21,2342,75,57,16,58,163,45153,395,232,130,4027,45,1699,20048,349,910,380,5,0,0.69,21,0.24,2.39,0.4,9,107,0.7,2.1,2,0.3,240,0.31,0.87,0.09,S4,sp,Ox,3.49,0.3,3.304,0.186,S4,0.9437046
836486,2,9,196,158,142,10,15,689,62,87,16,79,163,47147,573,214,102,3982,45,1628,21989,349,558,354,5,0,0.52,20,0.23,0.81,0.3,8.3,112,0.72,2.92,2,0.44,241,0.4,0.83,0.08,S4,sp,Ox,0.33,0.25,0.305,0.025,S4,0.918032787
836487,2,8,241,78,126,12,15,786,57,79,16,67,163,45435,491,224,145,4240,45,1748,22205,349,505,391,5,0,0.6,18,0.19,0.32,0.2,7.3,92,0.52,2.04,2,0.33,189,0.28,0.68,0.07,S4,sp,Ox,0.245,0.16,0.224,0.021,S4,0.90625
836488,2,10,220,347,156,11,23,1090,67,84,16,80,163,57880,445,292,159,4372,45,2074,20491,349,464,348,5,0,0.72,20,0.2,1.58,0.3,9.4,93,0.71,2.02,2,0.38,263,0.36,0.74,0.07,S4,sp,Ox,1.161,0.11,1.077,0.084,S4,0.922005571
836489,2,7,182,290,121,15,16,879,56,62,16,54,163,45200,327,194,128,3579,45,1558,24250,349,661,328,5,0,0.7,20,0.25,1.59,0.3,8.6,133,0.66,1.8,2,0.34,248,0.3,0.9,0.09,S4,sp,Ox,0.272,0.39,0.241,0.031,S4,0.871369295
836490,2,7,180,307,111,10,23,887,68,74,16,82,163,47576,445,243,138,3973,45,3044,18438,349,621,441,5,0,0.77,22,0.25,1.71,0.4,16.9,102,0.62,2.47,2,0.41,264,0.46,0.91,0.09,S4,sp,Ox,0.456,0.36,0.42,0.036,S4,0.914285714
836491,2,7,268,87,117,14,19,522,53,100,16,104,163,42685,788,261,96,3949,45,3414,16183,349,449,366,5,0,0.36,15,0.17,0.32,0.2,12.7,60,0.44,2.94,1,0.37,159,0.39,0.61,0.06,S4,sp,Ox,0.515,0.3,0.454,0.061,S4,0.865638767
836492,2,7,275,812,64,14,18,248,53,80,16,26,163,23792,349,63,72,4100,45,10895,10590,349,670,369,5,0,0.26,15,0.16,2.95,0.2,39.6,39,0.23,1.27,1,0.29,87,0.09,0.59,0.06,S4,sp,Ox,0.13,0.18,0.108,0.022,S4,0.796296296
836501,2,8,266,673,71,17,22,185,56,74,16,102,163,30579,466,170,82,4209,45,12387,15584,349,806,555,5,0,0.31,16,0.17,2.53,0.2,46.6,59,0.27,1.75,2,0.28,115,0.38,0.61,0.06,S4,sp,Ox,0.188,0.5,0.153,0.035,S4,0.77124183
836504,2,7,176,291,88,9,22,727,41,52,16,79,163,41376,542,192,102,3460,45,5870,25871,349,793,575,5,0,0.58,20,0.26,1.65,0.2,33.4,147,0.5,3.08,3,0.3,235,0.45,0.93,0.09,S4,sp,Ox,0.154,0.41,0.131,0.023,S4,0.824427481
836543,2,8,232,171,67,15,21,1070,70,64,16,71,163,47170,503,366,135,4531,45,1404,17662,349,868,417,5,0,0.58,20,0.19,0.74,0.3,6.1,76,0.29,2.17,2,0.28,203,0.31,0.7,0.07,S3,sp,Ox,0.743,0.22,0.694,0.049,S4,0.929394813
836544,2,5,232,109,70,17,15,450,46,51,16,26,163,26112,369,236,102,4075,45,1513,14233,349,595,393,5,0,0.44,18,0.19,0.47,0.2,6.5,61,0.3,1.59,2,0.22,113,0.11,0.7,0.07,S3,sp,Ox,0.53,0.19,0.485,0.045,S4,0.907216495
836546,2,6,268,161,84,14,21,534,51,68,16,26,163,37078,490,135,121,4908,45,1132,14773,349,585,387,5,0,0.45,18,0.17,0.6,0.2,4.2,55,0.31,1.83,1,0.25,138,0.1,0.61,0.06,S3,sp,Ox,0.228,0.15,0.19,0.038,S4,0.8
836547,2,2,151,118,55,4,15,465,52,48,16,26,163,28257,340,275,34,3174,45,1036,9524,349,380,377,5,0,0.23,21,0.3,0.78,0.3,6.9,63,0.36,2.25,3,0.32,187,0.17,1.08,0.11,S3,sp,Ox,0.222,0.35,0.205,0.017,S4,0.917073171
836548,2,9,272,230,102,13,27,476,52,76,16,72,163,36610,435,160,88,4362,45,2419,15233,349,592,402,5,0,0.32,16,0.17,0.85,0.2,8.9,56,0.38,1.6,1,0.28,135,0.26,0.6,0.06,S3,sp,Ox,0.249,0.09,0.218,0.031,S4,0.857798165
836549,2,7,213,265,108,4,16,378,43,48,38,58,163,44089,420,292,137,3982,45,2430,22008,349,736,500,5,0,0.64,19,0.21,1.24,0.2,11.4,103,0.51,1.97,2,0.23,207,0.27,0.77,0.18,S4,sp,Ox,0.242,0.19,0.21,0.032,S4,0.847619048
836550,2,9,263,285,114,12,19,262,56,59,16,26,163,38167,398,308,126,4615,45,2643,16691,1133,650,430,5,0,0.48,18,0.17,1.08,0.2,10.1,63,0.43,1.51,2,0.22,145,0.1,0.62,0.06,S3,sp,Ox,0.41,0.15,0.375,0.035,S4,0.906666667
836551,2,7,287,266,99,16,16,413,48,72,16,26,163,29412,484,419,125,4278,45,3348,12911,349,476,215,5,0,0.44,15,0.16,0.93,0.2,11.7,45,0.34,1.69,1,0.25,102,0.09,0.57,0.06,S4,sp,Ox,0.264,0.05,0.231,0.033,S4,0.857142857
836553,2,8,218,168,94,13,16,1065,72,72,16,94,163,47853,1432,207,191,4004,45,2446,22030,349,1006,551,5,0,0.88,18,0.21,0.77,0.3,11.2,101,0.43,6.57,3,0.33,220,0.43,0.75,0.07,S4,sp,Ox,1.998,0.19,1.899,0.099,S4,0.947867299
836554,2,10,276,307,132,10,21,737,64,75,41,73,163,46312,600,414,122,4497,45,2309,20706,1003,716,448,5,0,0.44,16,0.16,1.11,0.2,8.4,75,0.48,2.17,2,0.27,168,0.26,0.59,0.15,S4,sp,Ox,0.208,0.09,0.181,0.027,S4,0.850828729
836555,2,9,250,133,96,8,18,413,46,67,38,92,163,47020,758,408,132,3785,45,2601,24136,349,708,555,5,0,0.53,15,0.18,0.53,0.2,10.4,97,0.38,3.03,2,0.27,188,0.37,0.65,0.15,S4,sp,Ox,0.435,0.2,0.395,0.04,S4,0.898734177
836556,2,8,196,164,77,12,7,375,55,68,16,69,163,45174,535,457,126,3476,45,2969,22101,349,659,545,5,0,0.64,18,0.23,0.84,0.3,15.2,113,0.39,2.73,3,0.35,230,0.35,0.83,0.08,S4,sp,Ox,0.3,0.43,0.27,0.03,S4,0.888888889
836557,2,7,207,138,58,8,18,463,33,67,16,94,163,42330,828,304,101,3397,45,3724,15548,349,457,418,5,0,0.49,16,0.22,0.67,0.2,18,75,0.28,4,2,0.32,204,0.45,0.79,0.08,S4,sp,Ox,0.603,0.16,0.563,0.04,S4,0.928952043
