Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
487675,184,0.5,1.28,0.13,I2,fr,Fr,0.185,1.39,0.14,0.045,I2,0.678571429
487682,236,0.68,1.6,0.16,I2,fr,Fr,0.197,1.51,0.151,0.046,I2,0.695364238
487683,189,0.76,1.24,0.12,I2,fr,Fr,0.587,1.63,0.567,0.02,I2,0.964726631
487684,168,0.61,1.08,0.11,I2,fr,Fr,0.466,1.77,0.385,0.081,I2,0.78961039
487696,163,0.62,1.25,0.12,I2,fr,Fr,0.35,2.35,0.284,0.066,I2,0.767605634
487697,179,0.52,1.44,0.14,I2,fr,Fr,0.258,1.71,0.204,0.054,I2,0.735294118
487704,201,0.56,1.39,0.14,I2,fr,Fr,0.223,1.61,0.173,0.05,I2,0.710982659
487707,166,0.44,0.98,0.1,I2,fr,Fr,0.208,1.58,0.16,0.048,I2,0.7
487713,236,0.76,1.22,0.12,I2,fr,Fr,0.141,1.41,0.102,0.039,I2,0.617647059
487714,186,0.55,1.23,0.12,I2,fr,Fr,0.158,1.48,0.117,0.041,I2,0.64957265
487726,208,0.76,1.14,0.29,I2,sr,Tr,0.152,0.22,0.125,0.027,I2,0.784
487731,178,0.54,0.92,0.19,I2,sr,Tr,0.261,0.26,0.222,0.039,I2,0.824324324
487770,157,0.86,1.36,0.13,I2,fr,Fr,0.172,1.19,0.129,0.043,I2,0.666666667
487778,211,0.75,0.89,0.25,S3,fr,Fr,0.381,0.49,0.294,0.087,S4,0.704081633
836412,186,0.25,0.57,0.06,R,c,R,0.137,0.56,0.119,0.018,R,0.848739496
836457,261,0.52,1.02,0.24,S4,fr,Fr,0.181,0.47,0.138,0.043,S4,0.688405797
836458,296,0.46,1.07,0.1,S4,fr,Fr,0.157,0.59,0.117,0.04,S4,0.658119658
836459,251,0.56,0.86,0.08,S4,fr,Fr,0.244,0.42,0.212,0.032,S4,0.849056604
836461,228,0.55,0.92,0.09,S4,fr,Fr,0.211,0.57,0.163,0.048,S4,0.705521472
836462,192,0.32,0.92,0.22,S3,fr,Fr,0.493,0.43,0.449,0.044,S4,0.902004454
836463,232,0.35,0.98,0.1,S3,fr,Fr,0.249,0.78,0.183,0.066,S4,0.639344262
836477,148,0.1,0.63,0.13,R,c,R,0.24,0.6,0.215,0.025,R,0.88372093
836478,121,0.08,0.52,0.05,R,c,R,0.316,0,0.267,0.049,R,0.816479401
836479,111,0.07,0.46,0.05,S4,sp,Ox,0.286,0,0.245,0.041,S4,0.832653061
836480,139,0.09,0.55,0.05,S4,sp,Ox,0.263,0.21,0.229,0.034,S4,0.851528384
836481,149,0.22,0.52,0.05,S4,sp,Ox,0.14,0.26,0.109,0.031,S4,0.71559633
836484,208,0.27,0.78,0.08,S4,sp,Ox,2.279,0.2,2.128,0.151,S4,0.929041353
